time,pole1,pole2,pole3,pole4,pole5,pole6
17.958,0.3815226430930864,0.3772095230581555,0.46331675465447825,0.4633272052601919,0.37719265193731344,0.38152592229733234
17.958,0.3815226430930864,0.3772095230581555,0.46331675465447825,0.4633272052601919,0.37719265193731344,0.38152592229733234
18.008,0.38139897570150816,0.3770826406449133,0.4631879239612639,0.46319863237574915,0.3770626834878371,0.3814074876654195
18.058,0.38132357173158454,0.3770010800107312,0.4631069723657963,0.46311883714230084,0.37698441930068693,0.3813321595626637
18.108,0.3812094811097883,0.376879918511299,0.46298493785323463,0.4629961911485937,0.3768607811640782,0.38121786910064004
18.185,0.3810542280411533,0.3767137095004007,0.462818755172513,0.46283020426370186,0.3766959494186779,0.3810625949167762
18.208,0.38101610129853386,0.3766730606342662,0.4627779320000019,0.4627893245490626,0.37665496133985654,0.38102442458616576
18.258,0.38093848354716503,0.37659046770982263,0.4626949614873796,0.4627063271243188,0.37657184461068904,0.38094688552785205
18.308,0.3808224770427724,0.3764664284557047,0.4625708199076361,0.46258221153783863,0.37644834117040027,0.3808308613506689
18.358,0.3807455742751572,0.3763843695186379,0.4624885105286211,0.46249989288773374,0.37636606030509095,0.38075394431465287
18.408,0.38062943226216867,0.3762604092505658,0.46236426396858277,0.46237564542812365,0.37624211459307577,0.38063783901597015
18.458,0.38055236846248597,0.3761780784443426,0.46228177529122044,0.4622931615311634,0.37615985365571936,0.3805607578067779
18.508,0.38043653975682235,0.3760544489844273,0.46215782677795464,0.4621692094925797,0.3760361171150109,0.38044494297262765
18.558,0.3803593015816544,0.3759719570631322,0.4620751651277771,0.4620865506967231,0.3759536819237619,0.38036770715511015
18.608,0.3802435656841731,0.3758483717355097,0.46195129042296545,0.46196267808326086,0.3758300730155255,0.3802519708328
18.658,0.3801663353919316,0.37576590706437796,0.4618686338092713,0.4618800219159466,0.37574760384349043,0.38017474750410934
18.708,0.3800505646477031,0.37564226606197737,0.4617447137242302,0.46175610535378325,0.3756239783933392,0.38005897840463876
18.758,0.37997337885567173,0.37555984113581015,0.4616620938507505,0.4616734864530146,0.375541540242338,0.37998179657121073
18.808,0.3798575961087891,0.37543618589632594,0.46153815367129586,0.4615495491823178,0.3754178906662916,0.3798660190262141
18.858,0.3797804256145168,0.3753537659377923,0.46145554143035195,0.4614669387842248,0.3753354679896272,0.37978885110377814
18.908,0.3796646613932229,0.3752301244746376,0.4613316103239512,0.4613430102027961,0.37521182261833924,0.379673092331821
18.958,0.37958749442734646,0.37514770163875855,0.4612489950621447,0.461260397093843,0.3751294005296077,0.37959592841156176
19.008,0.37947175050951254,0.37502407191962955,0.46112507413223475,0.4611364790983341,0.37500576676389547,0.37948018950962265
