this is the origin planned trajectory without nutation
0.0 1.41609791549 0.339975922047 1.36 0.954967692209 -0.284443077478 0.0241022968845 -0.0809192300859
0.0812690764703 1.41598419995 0.344137008642 1.36 0.954966415338 -0.284475290597 0.0240779576618 -0.0808282535497
0.139352166648 1.41587171121 0.348296974045 1.36 0.954964159281 -0.284510916399 0.0240537453023 -0.0807366724304
0.187541365241 1.41576044071 0.352455784068 1.36 0.954960998432 -0.284549700711 0.0240296399016 -0.0806445020151
0.229871390592 1.41565037995 0.356613413316 1.36 0.954957000237 -0.284591412933 0.024005623404 -0.0805517562122
0.268181126017 1.41554152024 0.360769840045 1.36 0.954952228449 -0.284635835017 0.023981678774 -0.0804584481986
0.303549131764 1.41543385272 0.364925045829 1.36 0.954946743254 -0.284682761056 0.0239577899762 -0.0803645904953
0.336527695368 1.41532736843 0.369079015342 1.36 0.954940601437 -0.284731996709 0.0239339419184 -0.0802701949708
0.367361811375 1.41522116046 0.373201806429 1.36 0.95492122685 -0.284825796154 0.0239135941665 -0.0801739132768
0.396685047019 1.4151165891 0.377322578373 1.36 0.954901987991 -0.284919229745 0.0238930456791 -0.0800771391897
0.424574422801 1.41501320765 0.381441773306 1.36 0.954882456359 -0.285013707013 0.0238724399763 -0.0799799222386
0.451365401654 1.41491100662 0.385559406353 1.36 0.954862679263 -0.285109069106 0.0238517622134 -0.0798822627551
0.47710128415 1.41480997451 0.389675484617 1.36 0.954842693882 -0.28520518872 0.023831002777 -0.0797841686951
0.502070895257 1.41471010005 0.393790016656 1.36 0.954822535085 -0.285301946558 0.0238101526767 -0.0796856474825
0.526297103908 1.41461137221 0.39790301222 1.36 0.954802235447 -0.285399231224 0.0237892035722 -0.0795867061479
0.549802101086 1.41451378023 0.402014482151 1.36 0.954781825389 -0.285496938755 0.0237681477286 -0.0794873513298
0.572486231001 1.41441645753 0.406062121293 1.36 0.954737531832 -0.285674672774 0.0237534628041 -0.0793851349505
0.594708669442 1.41432073439 0.410107080074 1.36 0.954694281092 -0.285848884601 0.023738335219 -0.0792826353261
0.616920291357 1.41422615221 0.414150070187 1.36 0.954651378921 -0.286021881999 0.0237229731847 -0.0791798477255
0.639567550353 1.41413270129 0.418191130444 1.36 0.954608848424 -0.286193591824 0.0237073689154 -0.0790767675657
0.662659160166 1.41404036879 0.422230290996 1.36 0.95456670226 -0.286363973431 0.0236915198378 -0.0789733977083
0.686439455271 1.4139491423 0.42626758177 1.36 0.954524951886 -0.286532990289 0.0236754237109 -0.0788697408131
0.710929150745 1.41385900987 0.430303032596 1.36 0.954483607546 -0.286700610017 0.0236590786178 -0.078765799309
0.736149589817 1.41376995998 0.434336673069 1.36 0.954442678352 -0.286866804086 0.0236424829563 -0.0786615754572
0.76541912458 1.41366893894 0.438835247224 1.36 0.954357961404 -0.287182953373 0.0236335859306 -0.0785384390841
0.795849053396 1.41356989497 0.443329675873 1.36 0.954275675741 -0.287490705775 0.0236238247863 -0.0784152005917
0.827810424443 1.41347224253 0.44782118296 1.36 0.954194577628 -0.287794206945 0.0236135492407 -0.0782917796826
0.861818736045 1.41337596796 0.452309841385 1.36 0.954114674215 -0.288093450132 0.0236027570559 -0.0781681667827
0.898506082079 1.41328105258 0.456795715461 1.36 0.954035956914 -0.288388477756 0.0235914528029 -0.0780443602498
0.932709258385 1.41318747853 0.46127886786 1.36 0.953958416524 -0.288679333899 0.0235796411626 -0.0779203583499
0.969606818068 1.41309522881 0.465759359839 1.36 0.953882043137 -0.288966064601 0.0235673269407 -0.0777961592289
1.00282681667 1.41300443904 0.470090570855 1.36 0.953758463107 -0.289408252198 0.023567398437 -0.0776674664321
1.03650011475 1.41291546338 0.474417302813 1.36 0.953638210497 -0.289838762114 0.0235663595245 -0.07753890736
1.07257651097 1.41282774907 0.478740926117 1.36 0.953519748081 -0.290262701931 0.0235646270602 -0.0774103496889
1.11200517327 1.41274128837 0.483061529354 1.36 0.953403065742 -0.290680140004 0.0235622040888 -0.0772817765038
1.1559644607 1.41265606422 0.487379183862 1.36 0.953288137646 -0.291091191694 0.0235591011822 -0.0771531819975
1.20664261423 1.41257206039 0.491693958975 1.36 0.95317493815 -0.29149597058 0.0235553287208 -0.0770245604145
1.26911023367 1.41248926132 0.496005921955 1.36 0.953063441671 -0.291894588882 0.0235508969653 -0.0768959061631
1.31770297214 1.41240894593 0.50013160477 1.36 0.952898178864 -0.292467859001 0.0235603757959 -0.0767627569946
1.36009563682 1.412329764 0.504254160859 1.36 0.952735211755 -0.293032417614 0.0235689892948 -0.0766297674145
1.39822305277 1.41225169969 0.508373662118 1.36 0.952574505375 -0.293588433637 0.0235767525915 -0.0764969285743
1.43326174435 1.41217473781 0.512490178435 1.36 0.952416025107 -0.294136072641 0.0235836805052 -0.0763642318416
1.47117674173 1.41209886388 0.516603777795 1.36 0.952259736696 -0.294675496893 0.0235897875402 -0.0762316687631
1.51290640908 1.41202406403 0.520714526311 1.36 0.952105606268 -0.295206865383 0.0235950878942 -0.0760992310773
1.56078628723 1.41195032501 0.524822488251 1.36 0.951953600344 -0.295730333852 0.023599595466 -0.0759669107256
1.6197629166 1.41186769985 0.529360038236 1.36 0.951705185068 -0.296567785141 0.0236228706641 -0.0758073183389
1.66906894822 1.41178637293 0.533893744964 1.36 0.951460288193 -0.297391331246 0.0236448093543 -0.0756481267569
1.71223265546 1.41170632467 0.53842370243 1.36 0.951218852526 -0.298201281302 0.0236654391928 -0.0754893198822
1.75521562637 1.41162753639 0.542950001909 1.36 0.950980821587 -0.298997936518 0.023684787097 -0.0753308820619
