this is the nutation of wx, only
0.0 0.0 0.0 1.36 0.999048221582 0.0 0.0436193873653 0.0
0.0812690764703 0.0 0.0 1.36 0.999048223151 0.00222495376864 0.043562460752 -9.70167995652e-05
0.139352166648 0.0 0.0 1.36 0.999048226165 0.00381192618078 0.0434520831193 -0.000165793931578
0.187541365241 0.0 0.0 1.36 0.999048229814 0.00512482532947 0.0433165245226 -0.000222201106447
0.229871390592 0.0 0.0 1.36 0.999048233835 0.00627427185479 0.0431646440584 -0.000271084720603
0.268181126017 0.0 0.0 1.36 0.999048238092 0.00731076020335 0.0430008341156 -0.000314668276042
0.303549131764 0.0 0.0 1.36 0.999048242508 0.0082639257239 0.0428274581708 -0.000354260102974
0.336527695368 0.0 0.0 1.36 0.999048247014 0.00914904215234 0.0426467189473 -0.000390548334852
0.367361811375 0.0 0.0 1.36 0.99904825154 0.0099730703182 0.0424611504431 -0.000423871458168
0.396685047019 0.0 0.0 1.36 0.999048256097 0.0107532653091 0.0422698743169 -0.00045497219012
0.424574422801 0.0 0.0 1.36 0.999048260639 0.0114919390449 0.042074624368 -0.000483979641049
0.451365401654 0.0 0.0 1.36 0.99904826517 0.0121982120711 0.0418748859147 -0.000511285346912
0.47710128415 0.0 0.0 1.36 0.999048269659 0.0128734289598 0.0416718295753 -0.000536970388675
0.502070895257 0.0 0.0 1.36 0.999048274125 0.0135253369199 0.0414643956987 -0.0005613541773
0.526297103908 0.0 0.0 1.36 0.999048278544 0.0141546662975 0.0412533748744 -0.000584484020978
0.549802101086 0.0 0.0 1.36 0.999048282897 0.01476213764 0.0410394931923 -0.000606407775831
0.572486231001 0.0 0.0 1.36 0.999048287146 0.0153453524673 0.0408245869368 -0.000627064461183
0.594708669442 0.0 0.0 1.36 0.999048291339 0.0159136847368 0.0406060075732 -0.000646806774548
0.616920291357 0.0 0.0 1.36 0.999048295549 0.0164786499083 0.0403796193073 -0.000666035478926
0.639567550353 0.0 0.0 1.36 0.999048299845 0.017051400691 0.0401406893222 -0.000685106994079
0.662659160166 0.0 0.0 1.36 0.999048304217 0.0176318442858 0.0398886991371 -0.000703981307991
0.686439455271 0.0 0.0 1.36 0.999048308694 0.0182257300858 0.0396204141971 -0.000722798856432
0.710929150745 0.0 0.0 1.36 0.99904831326 0.0188330906858 0.0393348781635 -0.000741503006146
0.736149589817 0.0 0.0 1.36 0.999048317899 0.0194539254774 0.0390310855471 -0.000760031137564
0.76541912458 0.0 0.0 1.36 0.999048323177 0.0201683165627 0.0386662341892 -0.000780575707224
0.795849053396 0.0 0.0 1.36 0.999048328513 0.0209038140917 0.0382730524841 -0.000800814886544
0.827810424443 0.0 0.0 1.36 0.99904833392 0.0216681158597 0.0378450196824 -0.000820811409567
0.861818736045 0.0 0.0 1.36 0.999048339412 0.0224717886156 0.037372818589 -0.000840634077621
0.898506082079 0.0 0.0 1.36 0.999048344988 0.0233272846969 0.0368442947505 -0.000860296058155
0.932709258385 0.0 0.0 1.36 0.999048349821 0.0241137247127 0.0363339222271 -0.000876980777231
